,var_name,Contrast,A,B,Paired,Parametric,T,dof,Tail,p-unc,p-corr,p-adjust,BF10,cohen
2,spectralFlux_sma3_stddevNorm,task,pic,vac,True,True,-21.363215686472515,230.0,two-sided,1.590542178333842e-56,4.771626535001526e-56,fdr_bh,1.053e+53,-1.5164591610048863
0,mfcc1_sma3_amean,task,book,pic,True,True,8.287014480099911,230.0,two-sided,9.65253985237596e-15,9.65253985237596e-15,fdr_bh,5.954e+11,0.19469882280173692
1,mfcc1_sma3_amean,task,book,vac,True,True,20.954461760700163,230.0,two-sided,3.013792988153429e-55,9.041378964460288e-55,fdr_bh,5.697e+51,0.8648709449020614
2,mfcc1_sma3_amean,task,pic,vac,True,True,15.677475906815289,230.0,two-sided,3.621987024326848e-38,5.432980536490273e-38,fdr_bh,6.904e+34,0.6501786331255421
0,mfcc1_sma3_stddevNorm,task,book,pic,True,True,-2.344878219958917,230.0,two-sided,0.019884767865454234,0.019884767865454234,fdr_bh,1.078,-0.075886259936758
1,mfcc1_sma3_stddevNorm,task,book,vac,True,True,-14.870724930220916,230.0,two-sided,1.6848805905751477e-35,5.054641771725444e-35,fdr_bh,1.591e+32,-0.5994757309682179
2,mfcc1_sma3_stddevNorm,task,pic,vac,True,True,-13.066925865903753,230.0,two-sided,1.486969998050321e-29,2.2304549970754816e-29,fdr_bh,2.14e+26,-0.5056793662101446
0,mfcc2_sma3_amean,task,book,pic,True,True,3.9132783928944486,230.0,two-sided,0.00011994972440893246,0.00011994972440893246,fdr_bh,111.685,0.17646585871365908
1,mfcc2_sma3_amean,task,book,vac,True,True,-17.88807904947224,230.0,two-sided,1.974156545940642e-45,2.961234818910963e-45,fdr_bh,1.066e+42,-1.014778258374482
2,mfcc2_sma3_amean,task,pic,vac,True,True,-19.819687679727522,230.0,two-sided,1.1657503699714895e-51,3.4972511099144687e-51,fdr_bh,1.581e+48,-1.1539353253896119
0,mfcc2_sma3_amean,task,book,pic,True,True,3.9132783928944486,230.0,two-sided,0.00011994972440893246,0.00011994972440893246,fdr_bh,111.685,0.17646585871365908
1,mfcc2_sma3_amean,task,book,vac,True,True,-17.88807904947224,230.0,two-sided,1.974156545940642e-45,2.961234818910963e-45,fdr_bh,1.066e+42,-1.014778258374482
2,mfcc2_sma3_amean,task,pic,vac,True,True,-19.819687679727522,230.0,two-sided,1.1657503699714895e-51,3.4972511099144687e-51,fdr_bh,1.581e+48,-1.1539353253896119
0,mfcc3_sma3_amean,task,book,pic,True,True,-7.516207354438396,230.0,two-sided,1.2484511030268962e-12,1.2484511030268962e-12,fdr_bh,5.193e+09,-0.3214262311540537
1,mfcc3_sma3_amean,task,book,vac,True,True,-16.850483575410795,230.0,two-sided,4.9185116710733824e-42,1.4755535013220148e-41,fdr_bh,4.624e+38,-0.9624888597420359
2,mfcc3_sma3_amean,task,pic,vac,True,True,-9.85730039029957,230.0,two-sided,2.4000024051467532e-19,3.60000360772013e-19,fdr_bh,1.92e+16,-0.5986766969874491
0,mfcc3_sma3_amean,task,book,pic,True,True,-7.516207354438396,230.0,two-sided,1.2484511030268962e-12,1.2484511030268962e-12,fdr_bh,5.193e+09,-0.3214262311540537
1,mfcc3_sma3_amean,task,book,vac,True,True,-16.850483575410795,230.0,two-sided,4.9185116710733824e-42,1.4755535013220148e-41,fdr_bh,4.624e+38,-0.9624888597420359
2,mfcc3_sma3_amean,task,pic,vac,True,True,-9.85730039029957,230.0,two-sided,2.4000024051467532e-19,3.60000360772013e-19,fdr_bh,1.92e+16,-0.5986766969874491
0,mfcc4_sma3_amean,task,book,pic,True,True,-9.289896267342039,230.0,two-sided,1.2154607389874989e-17,1.2154607389874989e-17,fdr_bh,4.092e+14,-0.29678623135230636
1,mfcc4_sma3_amean,task,book,vac,True,True,15.603191243964227,230.0,two-sided,6.37452892395469e-38,9.561793385932037e-38,fdr_bh,3.947e+34,0.978336953155537
2,mfcc4_sma3_amean,task,pic,vac,True,True,19.197687167434097,230.0,two-sided,1.1397165842363261e-49,3.4191497527089785e-49,fdr_bh,1.685e+46,1.236223027202574
0,mfcc4_sma3_amean,task,book,pic,True,True,-9.289896267342039,230.0,two-sided,1.2154607389874989e-17,1.2154607389874989e-17,fdr_bh,4.092e+14,-0.29678623135230636
1,mfcc4_sma3_amean,task,book,vac,True,True,15.603191243964227,230.0,two-sided,6.37452892395469e-38,9.561793385932037e-38,fdr_bh,3.947e+34,0.978336953155537
2,mfcc4_sma3_amean,task,pic,vac,True,True,19.197687167434097,230.0,two-sided,1.1397165842363261e-49,3.4191497527089785e-49,fdr_bh,1.685e+46,1.236223027202574
0,jitterLocal_sma3nz_amean,task,book,pic,True,True,-3.2892242548860633,230.0,two-sided,0.0011622729054606366,0.0011622729054606366,fdr_bh,13.65,-0.16123253942651386
1,jitterLocal_sma3nz_amean,task,book,vac,True,True,6.566462569829942,230.0,two-sided,3.390871127542996e-10,5.086306691314494e-10,fdr_bh,2.248e+07,0.4014863683362092
2,jitterLocal_sma3nz_amean,task,pic,vac,True,True,9.238622815177214,230.0,two-sided,1.724535347654119e-17,5.173606042962357e-17,fdr_bh,2.904e+14,0.5708990228346851
0,jitterLocal_sma3nz_stddevNorm,task,book,pic,True,True,2.91131875537326,230.0,two-sided,0.003952913036083136,0.003952913036083136,fdr_bh,4.493,0.18076256796471493
1,jitterLocal_sma3nz_stddevNorm,task,book,vac,True,True,-9.840042480917392,230.0,two-sided,2.7080219217383767e-19,4.062032882607565e-19,fdr_bh,1.706e+16,-0.6948196007116643
2,jitterLocal_sma3nz_stddevNorm,task,pic,vac,True,True,-12.683652413733313,230.0,two-sided,2.6612178978311676e-28,7.983653693493503e-28,fdr_bh,1.244e+25,-0.9094131844252015
0,jitterLocal_sma3nz_stddevNorm,task,book,pic,True,True,2.91131875537326,230.0,two-sided,0.003952913036083136,0.003952913036083136,fdr_bh,4.493,0.18076256796471493
1,jitterLocal_sma3nz_stddevNorm,task,book,vac,True,True,-9.840042480917392,230.0,two-sided,2.7080219217383767e-19,4.062032882607565e-19,fdr_bh,1.706e+16,-0.6948196007116643
2,jitterLocal_sma3nz_stddevNorm,task,pic,vac,True,True,-12.683652413733313,230.0,two-sided,2.6612178978311676e-28,7.983653693493503e-28,fdr_bh,1.244e+25,-0.9094131844252015
0,shimmerLocaldB_sma3nz_stddevNorm,task,book,pic,True,True,-9.328349029124052,230.0,two-sided,9.344604250491978e-18,9.344604250491978e-18,fdr_bh,5.294e+14,-0.362965063645656
1,shimmerLocaldB_sma3nz_stddevNorm,task,book,vac,True,True,-23.1021446861908,230.0,two-sided,7.237666223408753e-62,2.171299867022626e-61,fdr_bh,2.099e+58,-2.1839981281357193
2,shimmerLocaldB_sma3nz_stddevNorm,task,pic,vac,True,True,-20.5952655072568,230.0,two-sided,4.0582163037165946e-54,6.087324455574893e-54,fdr_bh,4.325e+50,-1.896270859728838
0,HNRdBACF_sma3nz_amean,task,book,pic,True,True,-3.3980571939990596,230.0,two-sided,0.0007996984398962721,0.0007996984398962721,fdr_bh,19.235,-0.11989843412998631
1,HNRdBACF_sma3nz_amean,task,book,vac,True,True,-12.171309653746496,230.0,two-sided,1.2296480231463874e-26,3.6889440694391625e-26,fdr_bh,2.843e+23,-0.5548016823648143
2,HNRdBACF_sma3nz_amean,task,pic,vac,True,True,-8.915497341036385,230.0,two-sided,1.5328177200001715e-16,2.2992265800002576e-16,fdr_bh,3.419e+13,-0.4190133138451045
0,HNRdBACF_sma3nz_amean,task,book,pic,True,True,-3.3980571939990596,230.0,two-sided,0.0007996984398962721,0.0007996984398962721,fdr_bh,19.235,-0.11989843412998631
1,HNRdBACF_sma3nz_amean,task,book,vac,True,True,-12.171309653746496,230.0,two-sided,1.2296480231463874e-26,3.6889440694391625e-26,fdr_bh,2.843e+23,-0.5548016823648143
2,HNRdBACF_sma3nz_amean,task,pic,vac,True,True,-8.915497341036385,230.0,two-sided,1.5328177200001715e-16,2.2992265800002576e-16,fdr_bh,3.419e+13,-0.4190133138451045
0,logRelF0-H1-H2_sma3nz_amean,task,book,pic,True,True,-2.2533320447205947,230.0,two-sided,0.025181157607771655,0.025181157607771655,fdr_bh,0.88,-0.11147489372691917
1,logRelF0-H1-H2_sma3nz_amean,task,book,vac,True,True,-6.188768444131602,230.0,two-sided,2.7534507075390842e-09,8.260352122617253e-09,fdr_bh,2.967e+06,-0.41290041654749043
2,logRelF0-H1-H2_sma3nz_amean,task,pic,vac,True,True,-3.440487939978048,230.0,two-sided,0.0006894531586348235,0.0010341797379522354,fdr_bh,22.047,-0.24495108965859455
